#timebase=2000000(ps)
,#voltbase=500000(mv/100)
#size=4000
-1.140E-05,0.080
-1.139E-05,0.060
-1.138E-05,0.100
-1.137E-05,0.060
-1.136E-05,0.080
-1.135E-05,0.040
-1.134E-05,0.040
-1.133E-05,0.060
-1.132E-05,0.060
-1.131E-05,0.080
-1.130E-05,0.060
-1.129E-05,0.060
-1.128E-05,0.060
-1.127E-05,0.080
-1.126E-05,0.080
-1.125E-05,0.060
-1.124E-05,0.040
-1.123E-05,0.080
-1.122E-05,0.020
-1.121E-05,0.060
-1.120E-05,0.040
-1.119E-05,0.080
-1.118E-05,0.080
-1.117E-05,0.060
-1.116E-05,0.080
-1.115E-05,0.040
-1.114E-05,0.040
-1.113E-05,0.080
-1.112E-05,0.040
-1.111E-05,0.020
-1.110E-05,0.080
-1.109E-05,0.060
-1.108E-05,0.060
-1.107E-05,0.060
-1.106E-05,0.080
-1.105E-05,0.080
-1.104E-05,0.060
-1.103E-05,0.080
-1.102E-05,0.040
-1.101E-05,0.080
-1.100E-05,0.060
-1.099E-05,0.100
-1.098E-05,0.080
-1.097E-05,0.040
-1.096E-05,0.040
-1.095E-05,0.080
-1.094E-05,0.060
-1.093E-05,0.080
-1.092E-05,0.080
-1.091E-05,0.080
-1.090E-05,0.080
-1.089E-05,0.080
-1.088E-05,0.080
-1.087E-05,0.040
-1.086E-05,0.060
-1.085E-05,0.060
-1.084E-05,0.060
-1.083E-05,0.060
-1.082E-05,0.100
-1.081E-05,0.080
-1.080E-05,0.080
-1.079E-05,0.060
-1.078E-05,0.040
-1.077E-05,0.080
-1.076E-05,0.060
-1.075E-05,0.060
-1.074E-05,0.060
-1.073E-05,0.060
-1.072E-05,0.080
-1.071E-05,0.040
-1.070E-05,0.060
-1.069E-05,0.040
-1.068E-05,0.080
-1.067E-05,0.080
-1.066E-05,0.080
-1.065E-05,0.060
-1.064E-05,0.040
-1.063E-05,0.080
-1.062E-05,0.080
-1.061E-05,0.080
-1.060E-05,0.060
-1.059E-05,0.040
-1.058E-05,0.080
-1.057E-05,0.060
-1.056E-05,0.080
-1.055E-05,0.060
-1.054E-05,0.080
-1.053E-05,0.080
-1.052E-05,0.060
-1.051E-05,0.060
-1.050E-05,0.040
-1.049E-05,0.060
-1.048E-05,0.080
-1.047E-05,0.040
-1.046E-05,0.040
-1.045E-05,0.080
-1.044E-05,0.040
-1.043E-05,0.040
-1.042E-05,0.080
-1.041E-05,0.060
-1.040E-05,0.060
-1.039E-05,0.020
-1.038E-05,0.060
-1.037E-05,0.060
-1.036E-05,0.060
-1.035E-05,0.080
-1.034E-05,0.060
-1.033E-05,0.060
-1.032E-05,0.080
-1.031E-05,0.040
-1.030E-05,0.060
-1.029E-05,0.080
-1.028E-05,0.080
-1.027E-05,0.080
-1.026E-05,0.100
-1.025E-05,0.040
-1.024E-05,0.080
-1.023E-05,0.080
-1.022E-05,0.040
-1.021E-05,0.040
-1.020E-05,0.060
-1.019E-05,0.060
-1.018E-05,0.060
-1.017E-05,0.040
-1.016E-05,0.040
-1.015E-05,0.120
-1.014E-05,0.080
-1.013E-05,0.080
-1.012E-05,0.040
-1.011E-05,0.020
-1.010E-05,0.060
-1.009E-05,0.060
-1.008E-05,0.080
-1.007E-05,0.060
-1.006E-05,0.080
-1.005E-05,0.040
-1.004E-05,0.020
-1.003E-05,0.080
-1.002E-05,0.060
-1.001E-05,0.060
-1.000E-05,0.060
-9.990E-06,0.060
-9.980E-06,0.080
-9.970E-06,0.060
-9.960E-06,0.060
-9.950E-06,0.060
-9.940E-06,0.080
-9.930E-06,0.080
-9.920E-06,0.060
-9.910E-06,0.060
-9.900E-06,0.060
-9.890E-06,0.060
-9.880E-06,0.080
-9.870E-06,0.120
-9.860E-06,0.080
-9.850E-06,0.040
-9.840E-06,0.060
-9.830E-06,0.060
-9.820E-06,0.040
-9.810E-06,0.040
-9.800E-06,0.060
-9.790E-06,0.100
-9.780E-06,0.060
-9.770E-06,0.080
-9.760E-06,0.080
-9.750E-06,0.040
-9.740E-06,0.060
-9.730E-06,0.060
-9.720E-06,0.060
-9.710E-06,0.080
-9.700E-06,0.080
-9.690E-06,0.100
-9.680E-06,0.060
-9.670E-06,0.120
-9.660E-06,0.080
-9.650E-06,0.060
-9.640E-06,0.040
-9.630E-06,0.100
-9.620E-06,0.080
-9.610E-06,0.060
-9.600E-06,0.060
-9.590E-06,0.060
-9.580E-06,0.080
-9.570E-06,0.080
-9.560E-06,0.040
-9.550E-06,0.060
-9.540E-06,0.060
-9.530E-06,0.100
-9.520E-06,0.040
-9.510E-06,0.100
-9.500E-06,0.020
-9.490E-06,0.120
-9.480E-06,0.060
-9.470E-06,0.060
-9.460E-06,0.060
-9.450E-06,0.040
-9.440E-06,0.040
-9.430E-06,0.080
-9.420E-06,0.080
-9.410E-06,0.040
-9.400E-06,0.060
-9.390E-06,0.040
-9.380E-06,0.060
-9.370E-06,0.080
-9.360E-06,0.060
-9.350E-06,0.060
-9.340E-06,0.080
-9.330E-06,0.080
-9.320E-06,0.040
-9.310E-06,0.080
-9.300E-06,0.040
-9.290E-06,0.100
-9.280E-06,0.080
-9.270E-06,0.080
-9.260E-06,0.080
-9.250E-06,0.060
-9.240E-06,0.060
-9.230E-06,0.060
-9.220E-06,0.060
-9.210E-06,0.060
-9.200E-06,0.080
-9.190E-06,0.080
-9.180E-06,0.060
-9.170E-06,0.080
-9.160E-06,0.040
-9.150E-06,0.080
-9.140E-06,0.040
-9.130E-06,0.040
-9.120E-06,0.080
-9.110E-06,0.060
-9.100E-06,0.080
-9.090E-06,0.080
-9.080E-06,0.060
-9.070E-06,0.060
-9.060E-06,0.080
-9.050E-06,0.100
-9.040E-06,0.080
-9.030E-06,0.040
-9.020E-06,0.040
-9.010E-06,0.060
-9.000E-06,0.060
-8.990E-06,0.040
-8.980E-06,0.060
-8.970E-06,0.040
-8.960E-06,0.080
-8.950E-06,0.060
-8.940E-06,0.060
-8.930E-06,0.080
-8.920E-06,0.060
-8.910E-06,0.040
-8.900E-06,0.060
-8.890E-06,0.080
-8.880E-06,0.060
-8.870E-06,0.080
-8.860E-06,0.100
-8.850E-06,0.080
-8.840E-06,0.060
-8.830E-06,0.060
-8.820E-06,0.020
-8.810E-06,0.060
-8.800E-06,0.080
-8.790E-06,0.060
-8.780E-06,0.060
-8.770E-06,0.040
-8.760E-06,0.060
-8.750E-06,0.080
-8.740E-06,0.080
-8.730E-06,0.080
-8.720E-06,0.060
-8.710E-06,0.060
-8.700E-06,0.060
-8.690E-06,0.100
-8.680E-06,0.080
-8.670E-06,0.060
-8.660E-06,0.060
-8.650E-06,0.060
-8.640E-06,0.060
-8.630E-06,0.080
-8.620E-06,0.080
-8.610E-06,0.080
-8.600E-06,0.080
-8.590E-06,0.060
-8.580E-06,0.080
-8.570E-06,0.080
-8.560E-06,0.040
-8.550E-06,0.080
-8.540E-06,0.040
-8.530E-06,0.100
-8.520E-06,0.080
-8.510E-06,0.060
-8.500E-06,0.100
-8.490E-06,0.080
-8.480E-06,0.080
-8.470E-06,0.040
-8.460E-06,0.020
-8.450E-06,0.060
-8.440E-06,0.060
-8.430E-06,0.060
-8.420E-06,0.080
-8.410E-06,0.060
-8.400E-06,0.060
-8.390E-06,0.100
-8.380E-06,0.080
-8.370E-06,0.060
-8.360E-06,0.060
-8.350E-06,0.060
-8.340E-06,0.040
-8.330E-06,0.060
-8.320E-06,0.040
-8.310E-06,0.040
-8.300E-06,0.080
-8.290E-06,0.040
-8.280E-06,0.080
-8.270E-06,0.060
-8.260E-06,0.060
-8.250E-06,0.040
-8.240E-06,0.060
-8.230E-06,0.060
-8.220E-06,0.080
-8.210E-06,0.060
-8.200E-06,0.060
-8.190E-06,0.060
-8.180E-06,0.060
-8.170E-06,0.080
-8.160E-06,0.080
