#timebase=2000000(ps)
,#voltbase=200000(mv/100)
#size=4000
-1.535E-05,-0.008
-1.534E-05,0.008
-1.533E-05,0.008
-1.532E-05,0.008
-1.531E-05,-0.008
-1.530E-05,-0.008
-1.529E-05,0.008
-1.528E-05,0.008
-1.527E-05,0.008
-1.526E-05,0.008
-1.525E-05,0.008
-1.524E-05,0.008
-1.523E-05,0.000
-1.522E-05,0.008
-1.521E-05,0.008
-1.520E-05,0.000
-1.519E-05,0.000
-1.518E-05,0.008
-1.517E-05,-0.008
-1.516E-05,-0.008
-1.515E-05,0.008
-1.514E-05,0.008
-1.513E-05,0.008
-1.512E-05,0.000
-1.511E-05,0.000
-1.510E-05,0.008
-1.509E-05,0.000
-1.508E-05,0.000
-1.507E-05,0.000
-1.506E-05,0.008
-1.505E-05,0.000
-1.504E-05,0.008
-1.503E-05,0.008
-1.502E-05,0.000
-1.501E-05,-0.008
-1.500E-05,0.008
-1.499E-05,0.008
-1.498E-05,0.000
-1.497E-05,0.008
-1.496E-05,0.000
-1.495E-05,0.000
-1.494E-05,0.000
-1.493E-05,0.008
-1.492E-05,0.000
-1.491E-05,-0.008
-1.490E-05,0.008
-1.489E-05,0.008
-1.488E-05,0.000
-1.487E-05,0.008
-1.486E-05,0.000
-1.485E-05,-0.008
-1.484E-05,0.000
-1.483E-05,0.000
-1.482E-05,0.000
-1.481E-05,0.000
-1.480E-05,0.008
-1.479E-05,0.008
-1.478E-05,0.008
-1.477E-05,0.000
-1.476E-05,0.000
-1.475E-05,0.000
-1.474E-05,0.008
-1.473E-05,0.008
-1.472E-05,0.008
-1.471E-05,0.008
-1.470E-05,0.008
-1.469E-05,0.008
-1.468E-05,0.000
-1.467E-05,0.000
-1.466E-05,0.008
-1.465E-05,0.000
-1.464E-05,0.000
-1.463E-05,0.008
-1.462E-05,-0.008
-1.461E-05,0.008
-1.460E-05,0.008
-1.459E-05,0.008
-1.458E-05,0.008
-1.457E-05,0.000
-1.456E-05,0.000
-1.455E-05,0.008
-1.454E-05,0.008
-1.453E-05,0.008
-1.452E-05,0.008
-1.451E-05,0.000
-1.450E-05,0.000
-1.449E-05,0.008
-1.448E-05,0.000
-1.447E-05,0.008
-1.446E-05,0.000
-1.445E-05,0.000
-1.444E-05,0.000
-1.443E-05,0.000
-1.442E-05,0.008
-1.441E-05,0.008
-1.440E-05,0.008
-1.439E-05,0.000
-1.438E-05,0.008
-1.437E-05,0.008
-1.436E-05,0.000
-1.435E-05,0.008
-1.434E-05,0.008
-1.433E-05,0.008
-1.432E-05,0.008
-1.431E-05,0.008
-1.430E-05,0.000
-1.429E-05,-0.008
-1.428E-05,0.000
-1.427E-05,0.000
-1.426E-05,0.008
-1.425E-05,0.008
-1.424E-05,0.000
-1.423E-05,0.000
-1.422E-05,0.008
-1.421E-05,0.000
-1.420E-05,0.000
-1.419E-05,0.000
-1.418E-05,0.000
-1.417E-05,0.000
-1.416E-05,0.000
-1.415E-05,-0.008
-1.414E-05,0.008
-1.413E-05,0.008
-1.412E-05,0.008
-1.411E-05,0.000
-1.410E-05,0.008
-1.409E-05,0.008
-1.408E-05,-0.008
-1.407E-05,-0.008
-1.406E-05,0.008
-1.405E-05,0.008
-1.404E-05,0.008
-1.403E-05,0.008
-1.402E-05,0.008
-1.401E-05,0.008
-1.400E-05,0.008
-1.399E-05,0.008
-1.398E-05,0.000
-1.397E-05,0.008
-1.396E-05,0.008
-1.395E-05,0.008
-1.394E-05,0.000
-1.393E-05,0.000
-1.392E-05,0.008
-1.391E-05,0.008
-1.390E-05,0.000
-1.389E-05,-0.008
-1.388E-05,0.008
-1.387E-05,0.008
-1.386E-05,0.000
-1.385E-05,-0.008
-1.384E-05,0.000
-1.383E-05,-0.008
-1.382E-05,0.000
-1.381E-05,0.008
-1.380E-05,0.000
-1.379E-05,0.000
-1.378E-05,0.008
-1.377E-05,-0.008
-1.376E-05,0.000
-1.375E-05,0.008
