#timebase=2000000(ps)
,#voltbase=500000(mv/100)
#size=4000
-1.535E-05,0.060
-1.534E-05,0.020
-1.533E-05,0.040
-1.532E-05,0.060
-1.531E-05,0.040
-1.530E-05,0.040
-1.529E-05,0.080
-1.528E-05,0.060
-1.527E-05,0.060
-1.526E-05,0.060
-1.525E-05,0.060
-1.524E-05,0.100
-1.523E-05,0.080
-1.522E-05,0.060
-1.521E-05,0.060
-1.520E-05,0.040
-1.519E-05,0.080
-1.518E-05,0.060
-1.517E-05,0.040
-1.516E-05,0.080
-1.515E-05,0.080
-1.514E-05,0.040
-1.513E-05,0.060
-1.512E-05,0.040
-1.511E-05,0.060
-1.510E-05,0.060
-1.509E-05,0.020
-1.508E-05,0.060
-1.507E-05,0.060
-1.506E-05,0.080
-1.505E-05,0.100
-1.504E-05,0.040
-1.503E-05,0.040
-1.502E-05,0.040
-1.501E-05,0.060
-1.500E-05,0.060
-1.499E-05,0.040
-1.498E-05,0.040
-1.497E-05,0.060
-1.496E-05,0.060
-1.495E-05,0.020
-1.494E-05,0.040
-1.493E-05,0.040
-1.492E-05,0.040
-1.491E-05,0.040
-1.490E-05,0.060
-1.489E-05,0.060
-1.488E-05,0.060
-1.487E-05,0.080
-1.486E-05,0.040
-1.485E-05,0.020
-1.484E-05,0.040
-1.483E-05,0.060
-1.482E-05,0.060
-1.481E-05,0.060
-1.480E-05,0.060
-1.479E-05,0.020
-1.478E-05,0.060
-1.477E-05,0.060
-1.476E-05,0.080
-1.475E-05,0.060
-1.474E-05,0.060
-1.473E-05,0.020
-1.472E-05,0.060
-1.471E-05,0.060
-1.470E-05,0.060
-1.469E-05,0.040
-1.468E-05,0.020
-1.467E-05,0.060
-1.466E-05,0.080
-1.465E-05,0.040
-1.464E-05,0.060
-1.463E-05,0.060
-1.462E-05,0.040
-1.461E-05,0.060
-1.460E-05,0.040
-1.459E-05,0.040
-1.458E-05,0.060
-1.457E-05,0.080
-1.456E-05,0.060
-1.455E-05,0.040
-1.454E-05,0.040
-1.453E-05,0.040
-1.452E-05,0.040
-1.451E-05,0.060
-1.450E-05,0.080
-1.449E-05,0.060
-1.448E-05,0.060
-1.447E-05,0.060
-1.446E-05,0.080
-1.445E-05,0.060
-1.444E-05,0.040
-1.443E-05,0.060
-1.442E-05,0.040
-1.441E-05,0.040
-1.440E-05,0.040
-1.439E-05,0.060
-1.438E-05,0.060
-1.437E-05,0.040
-1.436E-05,0.040
-1.435E-05,0.060
-1.434E-05,0.080
-1.433E-05,0.100
-1.432E-05,0.040
-1.431E-05,0.060
-1.430E-05,0.060
-1.429E-05,0.040
-1.428E-05,0.040
-1.427E-05,0.060
-1.426E-05,0.040
-1.425E-05,0.060
-1.424E-05,0.040
-1.423E-05,0.060
-1.422E-05,0.080
-1.421E-05,0.060
-1.420E-05,0.080
-1.419E-05,0.080
-1.418E-05,0.040
-1.417E-05,0.080
-1.416E-05,0.060
-1.415E-05,0.040
-1.414E-05,0.040
-1.413E-05,0.040
-1.412E-05,0.040
-1.411E-05,0.060
-1.410E-05,0.060
-1.409E-05,0.020
-1.408E-05,0.060
-1.407E-05,0.060
-1.406E-05,0.060
-1.405E-05,0.080
-1.404E-05,0.060
-1.403E-05,0.080
-1.402E-05,0.040
-1.401E-05,0.080
-1.400E-05,0.060
-1.399E-05,0.060
-1.398E-05,0.060
-1.397E-05,0.060
-1.396E-05,0.060
-1.395E-05,0.060
-1.394E-05,0.040
-1.393E-05,0.080
-1.392E-05,0.040
-1.391E-05,0.060
-1.390E-05,0.020
-1.389E-05,0.040
-1.388E-05,0.040
-1.387E-05,0.080
-1.386E-05,0.060
-1.385E-05,0.060
-1.384E-05,0.060
-1.383E-05,0.080
-1.382E-05,0.060
-1.381E-05,0.040
-1.380E-05,0.020
-1.379E-05,0.060
-1.378E-05,0.040
-1.377E-05,0.060
-1.376E-05,0.060
-1.375E-05,0.060
-1.374E-05,0.040
-1.373E-05,0.040
-1.372E-05,0.060
-1.371E-05,0.080
-1.370E-05,0.080
-1.369E-05,0.060
-1.368E-05,0.060
-1.367E-05,0.040
-1.366E-05,0.060
-1.365E-05,0.040
-1.364E-05,0.040
-1.363E-05,0.040
-1.362E-05,0.040
-1.361E-05,0.040
-1.360E-05,0.060
-1.359E-05,0.080
-1.358E-05,0.040
-1.357E-05,0.040
-1.356E-05,0.060
-1.355E-05,0.060
-1.354E-05,0.080
-1.353E-05,0.080
-1.352E-05,0.060
-1.351E-05,0.060
-1.350E-05,0.060
-1.349E-05,0.060
-1.348E-05,0.060
-1.347E-05,0.020
-1.346E-05,0.060
-1.345E-05,0.040
-1.344E-05,0.080
-1.343E-05,0.080
-1.342E-05,0.040
-1.341E-05,0.040
-1.340E-05,0.060
-1.339E-05,0.040
-1.338E-05,0.040
-1.337E-05,0.040
-1.336E-05,0.040
-1.335E-05,0.060
-1.334E-05,0.060
-1.333E-05,0.060
-1.332E-05,0.060
-1.331E-05,0.080
-1.330E-05,0.060
-1.329E-05,0.040
-1.328E-05,0.060
-1.327E-05,0.060
-1.326E-05,0.080
-1.325E-05,0.080
-1.324E-05,0.060
-1.323E-05,0.060
-1.322E-05,0.040
-1.321E-05,0.040
-1.320E-05,0.080
-1.319E-05,0.080
-1.318E-05,0.060
-1.317E-05,0.040
-1.316E-05,0.060
-1.315E-05,0.040
-1.314E-05,0.040
-1.313E-05,0.060
-1.312E-05,0.060
-1.311E-05,0.060
-1.310E-05,0.080
-1.309E-05,0.060
-1.308E-05,0.040
-1.307E-05,0.040
-1.306E-05,0.060
-1.305E-05,0.040
-1.304E-05,0.040
-1.303E-05,0.060
-1.302E-05,0.080
-1.301E-05,0.040
-1.300E-05,0.040
-1.299E-05,0.060
-1.298E-05,0.080
-1.297E-05,0.060
-1.296E-05,0.040
-1.295E-05,0.040
-1.294E-05,0.080
-1.293E-05,0.060
-1.292E-05,0.080
-1.291E-05,0.040
-1.290E-05,0.060
-1.289E-05,0.080
-1.288E-05,0.040
-1.287E-05,0.060
-1.286E-05,0.040
-1.285E-05,0.060
-1.284E-05,0.040
-1.283E-05,0.080
-1.282E-05,0.040
-1.281E-05,0.040
-1.280E-05,0.060
-1.279E-05,0.060
-1.278E-05,0.060
-1.277E-05,0.040
-1.276E-05,0.040
-1.275E-05,0.060
-1.274E-05,0.060
-1.273E-05,0.060
-1.272E-05,0.060
-1.271E-05,0.060
-1.270E-05,0.080
-1.269E-05,0.100
-1.268E-05,0.020
-1.267E-05,0.040
-1.266E-05,0.040
-1.265E-05,0.040
-1.264E-05,0.060
-1.263E-05,0.060
-1.262E-05,0.060
-1.261E-05,0.020
-1.260E-05,0.040
-1.259E-05,0.080
-1.258E-05,0.040
-1.257E-05,0.060
-1.256E-05,0.060
-1.255E-05,0.040
-1.254E-05,0.040
-1.253E-05,0.080
-1.252E-05,0.080
-1.251E-05,0.060
-1.250E-05,0.060
-1.249E-05,0.060
-1.248E-05,0.060
-1.247E-05,0.060
-1.246E-05,0.080
-1.245E-05,0.060
-1.244E-05,0.040
-1.243E-05,0.040
-1.242E-05,0.060
-1.241E-05,0.060
-1.240E-05,0.040
-1.239E-05,0.060
-1.238E-05,0.080
-1.237E-05,0.060
-1.236E-05,0.080
-1.235E-05,0.060
-1.234E-05,0.040
-1.233E-05,0.040
-1.232E-05,0.060
-1.231E-05,0.020
-1.230E-05,0.060
-1.229E-05,0.060
-1.228E-05,0.040
-1.227E-05,0.040
-1.226E-05,0.040
-1.225E-05,0.060
-1.224E-05,0.060
-1.223E-05,0.060
-1.222E-05,0.060
-1.221E-05,0.060
-1.220E-05,0.060
-1.219E-05,0.060
-1.218E-05,0.060
-1.217E-05,0.060
-1.216E-05,0.060
-1.215E-05,0.060
-1.214E-05,0.020
-1.213E-05,0.080
-1.212E-05,0.080
-1.211E-05,0.080
-1.210E-05,0.060
-1.209E-05,0.060
-1.208E-05,0.080
-1.207E-05,0.060
-1.206E-05,0.060
-1.205E-05,0.060
-1.204E-05,0.060
-1.203E-05,0.080
-1.202E-05,0.040
