#timebase=2000000(ps)
,#voltbase=500000(mv/100)
#size=4000
-8.350E-06,0.040
-8.340E-06,0.080
-8.330E-06,0.000
-8.320E-06,0.040
-8.310E-06,0.060
-8.300E-06,0.040
-8.290E-06,0.040
-8.280E-06,0.060
-8.270E-06,0.020
-8.260E-06,0.020
-8.250E-06,0.020
-8.240E-06,0.020
-8.230E-06,0.060
-8.220E-06,0.020
-8.210E-06,0.040
-8.200E-06,0.040
-8.190E-06,0.060
-8.180E-06,0.040
-8.170E-06,0.060
-8.160E-06,0.020
-8.150E-06,0.060
-8.140E-06,0.040
-8.130E-06,0.080
-8.120E-06,0.040
-8.110E-06,0.080
-8.100E-06,0.080
-8.090E-06,0.060
-8.080E-06,0.080
-8.070E-06,0.060
-8.060E-06,0.000
-8.050E-06,0.020
-8.040E-06,0.040
-8.030E-06,0.020
-8.020E-06,0.040
-8.010E-06,0.040
-8.000E-06,0.040
-7.990E-06,0.080
-7.980E-06,0.060
-7.970E-06,0.000
-7.960E-06,0.060
-7.950E-06,0.060
-7.940E-06,0.040
-7.930E-06,0.000
-7.920E-06,0.020
-7.910E-06,0.060
-7.900E-06,0.020
-7.890E-06,0.060
-7.880E-06,0.060
-7.870E-06,0.060
-7.860E-06,0.060
-7.850E-06,0.020
-7.840E-06,0.040
-7.830E-06,0.020
-7.820E-06,0.040
-7.810E-06,0.060
-7.800E-06,0.040
-7.790E-06,0.040
-7.780E-06,0.060
-7.770E-06,0.040
-7.760E-06,0.040
-7.750E-06,0.080
-7.740E-06,0.040
-7.730E-06,0.000
-7.720E-06,0.060
-7.710E-06,0.020
-7.700E-06,0.040
-7.690E-06,0.060
-7.680E-06,0.060
-7.670E-06,0.040
-7.660E-06,0.040
-7.650E-06,0.080
-7.640E-06,0.040
-7.630E-06,0.040
-7.620E-06,0.060
-7.610E-06,0.080
-7.600E-06,0.040
-7.590E-06,0.080
-7.580E-06,0.060
-7.570E-06,0.020
-7.560E-06,0.040
-7.550E-06,0.040
-7.540E-06,0.060
-7.530E-06,0.040
-7.520E-06,0.040
-7.510E-06,0.040
-7.500E-06,0.020
-7.490E-06,0.040
-7.480E-06,0.040
-7.470E-06,0.040
-7.460E-06,0.040
-7.450E-06,0.020
-7.440E-06,0.060
-7.430E-06,0.060
-7.420E-06,0.060
-7.410E-06,0.040
-7.400E-06,0.020
-7.390E-06,0.060
-7.380E-06,0.040
-7.370E-06,0.020
-7.360E-06,0.020
-7.350E-06,0.020
-7.340E-06,0.060
-7.330E-06,0.040
-7.320E-06,0.040
-7.310E-06,0.060
-7.300E-06,0.020
-7.290E-06,0.040
-7.280E-06,0.040
-7.270E-06,0.020
-7.260E-06,0.020
-7.250E-06,0.060
-7.240E-06,0.020
-7.230E-06,0.020
-7.220E-06,0.040
-7.210E-06,0.020
-7.200E-06,0.060
-7.190E-06,0.040
-7.180E-06,0.040
-7.170E-06,0.060
-7.160E-06,0.060
-7.150E-06,0.020
-7.140E-06,0.060
-7.130E-06,0.040
-7.120E-06,0.060
-7.110E-06,0.020
-7.100E-06,0.060
-7.090E-06,0.060
-7.080E-06,0.020
-7.070E-06,0.020
-7.060E-06,0.060
-7.050E-06,0.040
-7.040E-06,0.020
-7.030E-06,0.040
-7.020E-06,0.040
-7.010E-06,0.060
-7.000E-06,0.040
-6.990E-06,0.020
-6.980E-06,0.000
-6.970E-06,0.040
-6.960E-06,0.000
-6.950E-06,0.040
-6.940E-06,0.020
-6.930E-06,0.060
-6.920E-06,0.020
-6.910E-06,0.040
-6.900E-06,0.060
-6.890E-06,0.060
-6.880E-06,0.040
-6.870E-06,0.080
-6.860E-06,0.060
-6.850E-06,0.080
-6.840E-06,0.000
-6.830E-06,0.040
-6.820E-06,0.080
-6.810E-06,0.060
-6.800E-06,0.060
-6.790E-06,0.020
-6.780E-06,0.020
-6.770E-06,0.080
-6.760E-06,0.040
-6.750E-06,0.060
-6.740E-06,0.020
-6.730E-06,0.040
-6.720E-06,0.040
-6.710E-06,0.040
-6.700E-06,0.020
-6.690E-06,0.020
-6.680E-06,0.060
-6.670E-06,0.060
-6.660E-06,0.060
-6.650E-06,0.040
-6.640E-06,0.020
-6.630E-06,0.040
-6.620E-06,0.040
-6.610E-06,0.040
-6.600E-06,0.040
-6.590E-06,0.060
-6.580E-06,0.020
-6.570E-06,0.040
-6.560E-06,0.040
-6.550E-06,0.060
-6.540E-06,0.020
-6.530E-06,0.020
-6.520E-06,0.060
-6.510E-06,0.020
-6.500E-06,0.020
-6.490E-06,0.000
-6.480E-06,0.060
-6.470E-06,0.060
-6.460E-06,0.040
-6.450E-06,0.060
-6.440E-06,0.080
-6.430E-06,0.060
-6.420E-06,0.060
-6.410E-06,0.020
-6.400E-06,0.000
-6.390E-06,0.040
